城市,区县,标准店名,分店,菜系,地址,高德状态,高德链接,高德核验日,点评评分,点评评价数,点评人均,点评推荐菜,点评最近评价日期,点评链接,点评核验日,评论推荐数,证据等级,备注,高德人均
无锡市,滨湖区,夏联福记,建筑路店,无锡本帮菜／粤式早茶,建筑路327号,已定位（营业状态未显示）,https://www.amap.com/place/B0FFIRZHB8,2026-07-21,4.1,251,2478,北京烤鸭／家常菜,2026-07-22,https://www.dianping.com/shop/H7qESQn3CcDTUa3g,2026-07-22,1,C,点评门店页显示“夏联福记·宴会厅（建筑路店）”，地址与高德建筑路327号一致；评分、评价数和人均取该店页当日值
无锡市,梁溪区,美华楼面馆,,面馆,蓉湖南路116号,已定位（营业状态未显示）,https://ditu.amap.com/search?query=%E6%97%A0%E9%94%A1%20%E7%BE%8E%E5%8D%8E%E6%A5%BC,2026-07-21,3.8,648,25,拌面／圆盅脚圈／阳春面／拌馄饨,2026-07-22,https://www.dianping.com/shop/4299404,2026-07-22,2,C,点评店铺页显示蓉湖南路116号，与原地址一致；评分、评价数、人均和推荐菜取该店页当日值
无锡市,梁溪区,劲道面馆,盛岸店,面馆,盛岸路289号（盛岸地铁站12号口附近）,已定位（营业状态未显示）,https://ditu.amap.com/search?query=%E6%97%A0%E9%94%A1%20%E7%9B%9B%E5%B2%B8%20%E5%8A%B2%E9%81%93%E9%9D%A2%E9%A6%86,2026-07-21,3.5,491,22,拌面／大排面／大肠面／阳春面,未获取,https://m.dianping.com/shop/105565517?msource=applemaps,2026-07-21,1,C,高德显示人均20元；点评显示营业中但地址被部分遮挡，与盛岸路门店名称及路段一致
无锡市,梁溪区,穆桂英美食,南禅寺店（总店）,江浙小吃,南禅寺向阳路32号,已定位（营业状态未显示）,https://www.amap.com/place/B01FE0IEJ8,2026-07-21,3.7,2万+,29,玉兰饼／糖芋头／开阳三鲜馄饨／酸辣汤,未获取,https://m.dianping.com/shop/17888515?msource=applemaps,2026-07-21,1,C,高德与点评店名及地址一致；点评页面当日显示春节营业说明但未展示可判定的实时营业标签
无锡市,梁溪区,熙盛源,,江浙小吃,分店待确认,分店待确认,https://ditu.amap.com/place/B01FE0IEK5,2026-07-21,4.3,9567,32,无锡小笼包／开洋馄饨／虾仁小馄饨,未获取,https://m.dianping.com/shop/19791066?msource=applemaps,2026-07-21,1,C,评论未指定分店；高德检出南禅寺步行街店，点评检出永乐路店，不能直接合并
无锡市,梁溪区,香酥鸭馆,南长街店,卤味鸭脖／无锡菜,南长街（完整门牌未获取）,高德滑块阻断，待人工复核,,2026-07-21,4.1,5103,84,金氏香酥鸭／鱼肉馄饨／梁溪脆鳝,未获取,https://m.dianping.com/shop/4068181?msource=applemaps,2026-07-21,1,C,评论父子楼层合并后计1个独立推荐线程；点评推荐菜显示“金氏香酥鸭”，与评论的店名线索吻合
无锡市,梁溪区,朱顺兴油酥,惠山古镇绣嶂街店,面包甜点／无锡小吃,绣嶂街22号（点评页面部分遮挡）,高德滑块阻断，待人工复核,,2026-07-21,3.9,865,28,招牌惠山油酥／无锡油酥／肉松味油赞子,未获取,https://m.dianping.com/shop/978080330?msource=applemaps,2026-07-21,1,C,点评另有绣嶂街一店页面明确标记已关门；本行对应绣嶂街店，需高德补充完整门牌与营业状态
无锡市,梁溪区,老友记,民干路店,无锡家常菜／馄饨,惠龙新村D区西门旁,已定位（营业状态未显示）,https://ditu.amap.com/search?query=%E6%97%A0%E9%94%A1%20%E8%80%81%E5%8F%8B%E8%AE%B0%20%E6%83%A0%E9%BE%99%E6%96%B0%E6%9D%91,2026-07-21,未获取,未获取,未获取,未获取,未获取,,2026-07-21,3,C,高德显示人均28元；大众点评已登录但站内搜索提交时浏览器连接超时，未取得点评店铺页，因此不进入主表
无锡市,,毛华美食,分店待确认,无锡小吃,待确认,滑块阻断，待人工复核,https://ditu.amap.com/search?query=%E6%97%A0%E9%94%A1%20%E6%AF%9B%E5%8D%8E%E7%BE%8E%E9%A3%9F%20%E5%A4%AA%E6%B9%96%E5%B9%BF%E5%9C%BA,2026-07-21,未获取,未获取,未获取,未获取,未获取,,2026-07-21,3,C,高德搜索触发滑块验证后停止没有绕过；点评登录页正常但搜索提交连接超时，分店与动态字段均待人工复核
无锡市,梁溪区,老牛窝里,总店,无锡菜,清名桥街道（点评地址遮挡）,地图门店页待补,,2026-07-21,4.3,2万+,81,无锡排骨／什锦面筋／松子牛肉年糕,未获取,https://m.dianping.com/shopshare/k2jrXPTJ619rTjOn,2026-07-21,67（机器语境待复核）,线索,点评搜索结果明确命中总店；评分、人均和评价量为核验日页面值；地图链接仍待补
